movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
Aadmi Sadak Ka,14.0,3618.333333333333,22.864464565168788,3,6.0,131.16666666666669,1.5076628352490429,3,2.3333329444445092,27.58576853174763,0.9999996666667778,21.356801729919745
Aafat,9.0,52.0,0.9375,2,3.0,13.0,0.7647058823529411,1,2.9999990000003334,3.9999996923077163,1.9999980000020001,0.17279411764705888
Aag Aur Shola,30.0,909.4333333333334,3.3085454615921246,4,6.0,48.0,0.8888888888888888,1,4.9999991666668056,18.94652738305846,3.9999960000040002,2.4196565727032358
Aag Hi Aag,23.0,35.0,1.0,5,2.0,4.0,0.3333333333333333,1,11.499994250002874,8.749997812500547,4.999995000005001,0.6666666666666667
Aag Ka Gola,12.0,187.0,1.4166666666666667,3,5.0,109.0,1.703125,2,2.399999520000096,1.7155963145358137,1.499999250000375,-0.28645833333333326
Aagey Se Right,36.0,359.5,1.362072959680059,5,9.0,332.0,5.082308201058201,5,3.9999995555556054,1.0828313220396646,0.99999980000004,-3.7202352413781417
Aaghaaz,33.0,952.5050505050506,3.089464695261797,5,12.0,428.63737373737376,4.8510374452811424,5,2.7499997708333526,2.2221698494879285,0.99999980000004,-1.7615727500193454
Aagman,5.0,388.23333333333335,4.497186147186147,2,1.0,76.0,6.909090909090909,1,4.999995000005001,5.108333266118422,1.9999980000020001,-2.411904761904762
Aahat,3.0,47.0,4.2727272727272725,1,1.0,50.5,3.8846153846153846,1,2.9999970000030003,0.9306930508773654,0.9999990000010001,0.3881118881118879
Aaina,12.0,325.0,2.4459789395210136,5,19.0,631.0,2.0370344467146464,6,0.6315789141274255,0.5150554666956332,0.8333331944444675,0.40894449280636724
Aaj,0.0,460.0,4.367663817663818,3,0.0,146.66666666666666,3.2895299145299144,3,0.0,3.1363636149793392,0.9999996666667778,1.0781339031339034
Aaj Ka Goonda Raaj,24.0,744.6666666666667,2.539061245616259,7,2.0,3.0,0.2,1,11.999994000003,248.2221394815091,6.9999930000070005,2.339061245616259
Aaj Ke Shahenshah,12.0,443.3333333333333,3.0787037037037037,2,39.0,2128.1666666666665,4.391510347901781,4,0.3076922998027616,0.20831701767954405,0.49999987500003124,-1.3128066441980777
Aaja Nachle,43.0,2518.1761904761906,3.884706438392967,10,55.0,4806.499999999999,3.2013422230641573,6,0.781818167603306,0.523910577333253,1.666666388888935,0.6833642153288095
Aaja Sanam,5.0,53.0,0.6162790697674418,2,6.0,205.0,3.4166666666666665,1,0.8333331944444675,0.2585365841046996,1.9999980000020001,-2.800387596899225
Aakhir Kyon?,20.0,1404.6833333333334,3.2596103883419287,2,61.0,4585.666666666667,6.071568734123856,4,0.3278688470841173,0.30632041862913706,0.49999987500003124,-2.8119583457819273
Aakhree Raasta,0.0,287.33333333333337,1.5972902920526162,3,0.0,256.0,1.8823529411764703,1,0.0,1.1223958289489748,2.9999970000030003,-0.28506264912385415
Aakhri Adaalat,15.0,740.5,3.2765486725663715,2,3.0,0.0,0.0,1,4.999998333333888,740500000.0,1.9999980000020001,3.2765486725663715
Aakhri Daao,9.0,58.0,0.3717948717948718,2,2.0,302.6666666666667,9.458333333333334,1,4.499997750001125,0.19162995531399793,1.9999980000020001,-9.086538461538462
Aakhri Sangram,14.0,657.0,5.960914454277286,2,5.0,359.5,7.489583333333333,1,2.799999440000112,1.8275382424825084,1.9999980000020001,-1.5286688790560472
Aakrosh,5.0,2562.6047619047617,5.750259183231804,10,2.0,698.0,6.236122377244214,4,2.499998750000625,3.671353521824367,2.499999375000156,-0.48586319401240985
Aamdani Atthani Kharcha Rupaiyaa,2.0,41.804761904761904,2.3224867724867724,1,5.0,105.0,2.492857142857143,2,0.399999920000016,0.3981405857773459,0.499999750000125,-0.1703703703703705
Aan Milo Sajna,13.0,9219.2,70.37557251908397,1,17.0,1090.6666666666665,8.389631043256998,3,0.7647058373702448,8.452811728191188,0.33333322222225925,61.985941475826976
Aanch,6.0,1232.8333333333333,22.014880952380956,1,9.0,39.0,0.75,1,0.6666665925926009,31.61111030056982,0.9999990000010001,21.264880952380956
Aanchal,0.0,30.0,1.0897435897435896,3,0.0,324.0,9.1,2,0.0,0.09259259230681299,1.499999250000375,-8.01025641025641
Aangan Ki Kali,2.0,42.0,2.1,1,20.0,669.5,5.399193548387097,2,0.09999999500000024,0.06273338302803079,0.499999750000125,-3.299193548387097
Aankhen,0.0,2070.316666666666,2.3444002260966545,9,0.0,581.3333333333333,5.099415204678362,1,0.0,3.5613245351582714,8.999991000009,-2.7550149785817073
Aankhon Aankhon Mein,21.0,404.0,2.439934304243515,4,3.0,145.0,5.178571428571429,1,6.999997666667444,2.7862068773365043,3.9999960000040002,-2.738637124327914
Aao Pyaar Karen,38.0,2365.0833333333335,6.234940610859728,6,46.0,2007.5,4.3170760346012305,12,0.8260869385633275,1.178123702194376,0.4999999583333368,1.9178645762584976
Aap Aye Bahaar Ayee,46.0,1256.75,3.444967813294143,4,18.0,697.5000000000001,3.8423185341790003,2,2.5555554135802545,1.8017921121121256,1.9999990000005,-0.39735072088485746
Aap Ka Suroor - The Real Love Story,19.0,413.0,3.037777777777778,5,14.0,350.0,3.888888888888889,1,1.3571427602040886,1.1799999966285715,4.999995000005001,-0.8511111111111109
Aap Ke Deewane,3.0,0.0,0.0,1,1.0,262.0,15.411764705882351,1,2.9999970000030003,0.0,0.9999990000010001,-15.411764705882351
Aap Ke Saath,12.0,486.0,4.243156199677939,2,8.0,340.5,5.660539215686274,2,1.4999998125000236,1.4273127711385822,0.99999950000025,-1.4173830160083352
Aap Ki Khatir,6.0,1193.6666666666665,1.9830492958951456,5,1.0,1366.5000000000002,4.881344052772624,4,5.999994000006001,0.8735211604779693,1.249999687500078,-2.8982947568774784
Aap Mujhe Achche Lagne Lage,23.0,3553.1333333333337,21.404417670682733,1,10.0,1178.6666666666663,7.459915611814345,1,2.299999770000023,3.014536196537442,0.9999990000010001,13.944502058868387
Aap To Aise Na The,18.0,1637.4999999999995,6.096537525499411,3,11.0,240.83333333333331,2.457482993197279,1,1.6363634876033195,6.799307930245087,2.9999970000030003,3.639054532302132
Aar Ya Paar,23.0,2783.6666666666665,15.317078410311494,2,1.0,9.0,2.25,1,22.999977000023,309.296261930045,1.9999980000020001,13.067078410311494
Aarakshan,69.0,1163.5,2.2447814961728527,5,27.0,502.5,2.085721783090204,4,2.555555460905353,2.3154228809643325,1.249999687500078,0.15905971308264855
Aarop,29.0,5267.333333333334,9.708281573498967,4,10.0,215.5,3.05370774263904,2,2.899999710000029,24.442381943809522,1.9999990000005,6.654573830859927
Aarzoo,48.0,489.36428571428576,2.069122388600411,5,58.0,1015.8595238095237,2.2985267450787594,2,0.8275861926278243,0.481724366177541,2.499998750000625,-0.22940435647834834
Aasha,25.0,216.0,1.2134831460674158,1,26.0,397.6666666666667,3.881704980842912,4,0.9615384245562144,0.5431684814505403,0.24999993750001562,-2.668221834775496
Aashayein,52.0,1470.5333333333333,3.383101242914238,6,18.0,1000.6500000000001,6.801746994719696,3,2.8888887283950706,1.4695781060947934,1.9999993333335555,-3.4186457518054576
Aashiq,113.0,14870.822222222225,13.300973025082712,8,47.0,4482.85,10.018522267206478,2,2.404255267994569,3.31726964295146,3.999998000001,3.2824507578762336
Aashiq Awara,10.0,233.0,1.6059722222222224,4,4.0,24.0,1.3333333333333333,1,2.499999375000156,9.70833292881946,3.9999960000040002,0.2726388888888891
Aashiq Banaya Aapne,21.0,292.0,1.9337748344370864,1,22.0,3457.5,22.266562089595798,2,0.9545454111570267,0.08445408529733794,0.499999750000125,-20.33278725515871
Aashiq Hoon Baharon Ka,36.0,669.8333333333333,2.6014588671364134,3,15.0,477.33333333333337,4.550733611017299,3,2.3999998400000107,1.4032821199651908,0.9999996666667778,-1.9492747438808857
Aashiqui,49.0,1531.9999999999998,4.010471204188481,1,43.0,2331.4833333333336,6.481171085858587,2,1.1395348572201196,0.6570924086995721,0.499999750000125,-2.4706998816701056
Aashiqui 2,64.0,1405.7428571428572,2.794915133266421,2,67.0,3269.1857142857134,4.127373909085736,5,0.9552238663399424,0.42999785866248996,0.399999920000016,-1.332458775819315
Aashiqui.in,4.0,133.0,2.375,1,38.0,806.5,2.3883787969153825,3,0.10526315512465383,0.16491010518920013,0.33333322222225925,-0.013378796915382463
